Age,Health Challenge,Class Participation,Academic Performance before Jamb/Waec,Study Habits,Assignment/Homework Completion,Extracurricular Involvement,Disciplinary Issue,Attendance Status,Motivation for Jamb/Waec,Resource Access (1-3),Understanding of Material (1-3),Time Management (1-3),Tutorial Hours for Jamb/Waec,Daily Self Study Hours for Jamb/Waec,Jamb Score,Family Income Range,Parent Education Level,Living Conditions,Parent Engagement with School/Teachers,Exam Status
20,No,Moderate,Excellent,Poor,Sometimes,High,No,Very Poor,Low,1,1,2,82,6,346,Low,Secondary,Moderate,Low,Pass
30,Yes,Moderate,Poor,Average,Always,None,Yes,Irregular,Low,3,2,3,37,3,182,High,Secondary,Moderate,Low,Fail
21,Yes,Moderate,Good,Good,Sometimes,Low,Yes,Regular,High,3,2,3,16,10,174,Medium,Primary,Poor,Low,Fail
24,No,Active,Fair,Good,Sometimes,Low,No,Irregular,Low,1,3,2,60,10,214,Medium,Secondary,Poor,Low,Pass
27,No,Rarely,Good,Average,Sometimes,None,No,Irregular,Moderate,3,2,3,9,11,350,Medium,Secondary,Poor,High,Pass
21,Yes,Active,Good,Poor,Always,None,Yes,Very Poor,Moderate,1,2,1,21,7,141,Low,Secondary,Poor,High,Fail
27,No,Active,Fair,Poor,Rarely,Moderate,No,Irregular,Low,2,3,1,41,6,336,Low,Secondary,Moderate,High,Pass
25,No,Rarely,Good,Good,Always,None,No,Regular,High,3,3,3,88,3,390,High,Primary,Poor,High,Pass
18,No,Moderate,Excellent,Poor,Rarely,Low,Yes,Irregular,High,1,1,3,9,10,107,Low,Primary,Good,Low,Fail
25,No,Moderate,Fair,Poor,Rarely,Moderate,Yes,Very Poor,High,2,3,2,82,8,239,Low,Primary,Good,Moderate,Pass
23,Yes,Moderate,Fair,Good,Sometimes,None,Yes,Irregular,Low,1,2,2,77,7,205,High,Secondary,Good,High,Pass
28,No,Rarely,Fair,Average,Sometimes,High,Yes,Very Poor,Moderate,2,2,3,94,10,171,Low,Tertiary,Moderate,Low,Fail
24,No,Rarely,Fair,Good,Always,Low,No,Irregular,Moderate,3,3,1,92,5,137,Medium,Secondary,Poor,Moderate,Fail
26,No,Moderate,Fair,Poor,Always,High,No,Regular,Low,3,2,3,24,12,313,Medium,Tertiary,Poor,Moderate,Pass
18,No,Rarely,Fair,Good,Sometimes,Low,Yes,Very Poor,High,2,3,1,82,3,327,Medium,Secondary,Poor,Moderate,Pass
30,No,Active,Excellent,Good,Sometimes,Moderate,Yes,Very Poor,High,1,1,3,69,3,226,Low,Secondary,Good,Low,Pass
24,Yes,Active,Excellent,Average,Sometimes,None,Yes,Regular,Low,1,1,2,41,3,241,Medium,Secondary,Good,High,Pass
18,No,Active,Good,Good,Sometimes,Moderate,No,Regular,Low,3,3,1,47,9,123,Medium,Secondary,Poor,High,Fail
22,Yes,Rarely,Poor,Poor,Always,Moderate,Yes,Irregular,Moderate,3,3,2,25,5,181,Low,Tertiary,Poor,Low,Fail
27,Yes,Rarely,Poor,Average,Rarely,Low,No,Irregular,Moderate,3,3,2,63,7,281,Medium,Primary,Good,Moderate,Pass
16,No,Rarely,Excellent,Poor,Rarely,None,Yes,Regular,Moderate,1,3,1,4,11,169,Medium,Secondary,Poor,Moderate,Fail
18,Yes,Rarely,Poor,Poor,Always,Low,No,Regular,Low,1,2,2,5,6,261,High,Primary,Moderate,High,Pass
29,No,Moderate,Poor,Good,Sometimes,Moderate,No,Irregular,Low,3,3,3,17,8,207,Medium,Secondary,Moderate,Low,Pass
